Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SHASHIKALA_PAIBUS1", 0.415, 1,     236.89,  -30.3,   0.98869, 2,     236.89, -150.3,   0.98869, 3,     236.89,   89.7,   0.98869
"KAPILESHWARIBUS1", 0.415, 1,     237.41,  -30.3,   0.99086, 2,     237.41, -150.3,   0.99086, 3,     237.41,   89.7,   0.99086
"3_WAY_RATHAMALBUS1", 0.415, 1,    238.731,  -30.1,   0.99637, 2,    238.731, -150.1,   0.99637, 3,    238.731,   89.9,   0.99637
"MATRUCHAYABUS1", 0.415, 1,    236.731,  -30.3,   0.98803, 2,    236.731, -150.3,   0.98803, 3,    236.731,   89.7,   0.98803
"SHANTINAGAR_INTERLINKBUS1", 0.415, 1,    236.214,  -30.4,   0.98586, 2,    236.214, -150.4,   0.98586, 3,    236.214,   89.6,   0.98586
"3_WAY_SHANTINAGARBUS1", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"VAMNESHWARBUS1", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"GOLDEN_PROPERTIESBUS1", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"RITESHBUS1", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"SNEHMANDIR_LV", 0.415, 1,    237.398,  -30.4,   0.99081, 2,    237.398, -150.4,   0.99081, 3,    237.398,   89.6,   0.99081
"RAINGUINIM_LV", 0.415, 1,    237.439,  -30.5,   0.99098, 2,    237.439, -150.5,   0.99098, 3,    237.439,   89.5,   0.99098
"BANDORAP_LV", 0.415, 1,    238.475,  -30.2,    0.9953, 2,    238.475, -150.2,    0.9953, 3,    238.475,   89.8,    0.9953
"KASHIMATHG_LV", 0.415, 1,    237.676,  -30.4,   0.99197, 2,    237.676, -150.4,   0.99197, 3,    237.676,   89.6,   0.99197
"NAGESHIT_LV", 0.415, 1,    237.597,  -30.4,   0.99164, 2,    237.597, -150.4,   0.99164, 3,    237.597,   89.6,   0.99164
"DHONSHI_LV", 0.415, 1,    237.208,  -30.5,   0.99001, 2,    237.208, -150.5,   0.99001, 3,    237.208,   89.5,   0.99001
"AGRASHALA_LV", 0.415, 1,    237.804,  -30.4,    0.9925, 2,    237.804, -150.4,    0.9925, 3,    237.804,   89.6,    0.9925
"HINDUJAN_LV", 0.415, 1,    237.237,  -30.5,   0.99014, 2,    237.237, -150.5,   0.99014, 3,    237.237,   89.5,   0.99014
"VAGDOR_LV", 0.415, 1,    237.356,  -30.5,   0.99063, 2,    237.356, -150.5,   0.99063, 3,    237.356,   89.5,   0.99063
"MAHALAXMI_LV", 0.415, 1,    237.039,  -30.6,   0.98931, 2,    237.039, -150.6,   0.98931, 3,    237.039,   89.4,   0.98931
"PEARL_LV", 0.415, 1,    237.806,  -30.4,   0.99251, 2,    237.806, -150.4,   0.99251, 3,    237.806,   89.6,   0.99251
"KUNAL_LV", 0.415, 1,    237.696,  -30.4,   0.99205, 2,    237.696, -150.4,   0.99205, 3,    237.696,   89.6,   0.99205
"SHAMRAO_LV", 0.415, 1,    238.636,  -30.2,   0.99598, 2,    238.636, -150.2,   0.99598, 3,    238.636,   89.8,   0.99598
"MOGRU_LV", 0.415, 1,    237.959,  -30.4,   0.99315, 2,    237.959, -150.4,   0.99315, 3,    237.959,   89.6,   0.99315
"KONARGAUNEM_LV", 0.415, 1,    238.057,  -30.4,   0.99356, 2,    238.057, -150.4,   0.99356, 3,    238.057,   89.6,   0.99356
"MGSCHOOL_LV", 0.415, 1,      238.9,  -30.1,   0.99708, 2,      238.9, -150.1,   0.99708, 3,      238.9,   89.9,   0.99708
"CHAFERAN_LV", 0.415, 1,    237.746,  -30.5,   0.99226, 2,    237.746, -150.5,   0.99226, 3,    237.746,   89.5,   0.99226
"SHIGUMOMAND_LV", 0.415, 1,    237.562,  -30.5,   0.99149, 2,    237.562, -150.5,   0.99149, 3,    237.562,   89.5,   0.99149
