Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"HINDU_JAN_JAGRUTI_DTC", 11, 1,    6329.35,   -0.1,   0.99661, 2,    6329.35, -120.1,   0.99661, 3,    6329.35,  119.9,   0.99661
"VAGDOR_DTC", 11, 1,    6329.35,   -0.1,   0.99661, 2,    6329.35, -120.1,   0.99661, 3,    6329.35,  119.9,   0.99661
"NAGESHI_TEMPLE_DTC", 11, 1,    6328.45,   -0.1,   0.99647, 2,    6328.45, -120.1,   0.99647, 3,    6328.45,  119.9,   0.99647
"DHONSHI_DTC", 11, 1,    6328.31,   -0.1,   0.99645, 2,    6328.31, -120.1,   0.99645, 3,    6328.31,  119.9,   0.99645
"BANDORA_PANCHAYAT_RMU", 11, 1,    6328.07,   -0.1,   0.99641, 2,    6328.07, -120.1,   0.99641, 3,    6328.07,  119.9,   0.99641
"KASHIMATHGROUND_DTC", 11, 1,    6328.07,   -0.1,   0.99641, 2,    6328.07, -120.1,   0.99641, 3,    6328.07,  119.9,   0.99641
"RAINGUINIM", 11, 1,    6327.93,   -0.1,   0.99639, 2,    6327.93, -120.1,   0.99639, 3,    6327.93,  119.9,   0.99639
"3_WAY_SNEH_MANDIR", 11, 1,     6294.2,   -0.1,   0.99108, 2,     6294.2, -120.1,   0.99108, 3,     6294.2,  119.9,   0.99108
"RAM_MANDIRBUS1", 0.415, 1,    236.568,  -30.6,   0.98734, 2,    236.568, -150.6,   0.98734, 3,    236.568,   89.4,   0.98734
"DEMPO_DTCBUS1", 0.415, 1,    238.073,  -30.1,   0.99363, 2,    238.073, -150.1,   0.99363, 3,    238.073,   89.9,   0.99363
"RB_ENGGBUS1", 0.415, 1,    238.034,  -30.1,   0.99346, 2,    238.034, -150.1,   0.99346, 3,    238.034,   89.9,   0.99346
"UNDIR_BAKALEBUS1", 0.415, 1,    236.277,  -30.6,   0.98613, 2,    236.277, -150.6,   0.98613, 3,    236.277,   89.4,   0.98613
"MULEBHATBUS1", 0.415, 1,    236.003,  -30.7,   0.98498, 2,    236.003, -150.7,   0.98498, 3,    236.003,   89.3,   0.98498
"MARUTI_TEMPLEBUS1", 0.415, 1,    236.161,  -30.6,   0.98564, 2,    236.161, -150.6,   0.98564, 3,    236.161,   89.4,   0.98564
"CHIKALIBUS1", 0.415, 1,    236.199,  -30.6,   0.98581, 2,    236.199, -150.6,   0.98581, 3,    236.199,   89.4,   0.98581
"ADPAIBUS1", 0.415, 1,    235.142,  -30.8,   0.98139, 2,    235.142, -150.8,   0.98139, 3,    235.142,   89.2,   0.98139
"DURBHATBUS1", 0.415, 1,    235.038,  -30.9,   0.98096, 2,    235.038, -150.9,   0.98096, 3,    235.038,   89.1,   0.98096
"SEWERAGEBUS1", 0.415, 1,    237.313,  -30.2,   0.99045, 2,    237.313, -150.2,   0.99045, 3,    237.313,   89.8,   0.99045
"KASWADABUS1", 0.415, 1,    235.155,  -30.8,   0.98145, 2,    235.155, -150.8,   0.98145, 3,    235.155,   89.2,   0.98145
"LONDIYAR_WADEMBUS1", 0.415, 1,    234.965,  -30.9,   0.98065, 2,    234.965, -150.9,   0.98065, 3,    234.965,   89.1,   0.98065
"NEW_TALAULIMBUS1", 0.415, 1,    236.514,  -30.4,   0.98712, 2,    236.514, -150.4,   0.98712, 3,    236.514,   89.6,   0.98712
"WADIBUS1", 0.415, 1,    235.736,  -30.6,   0.98387, 2,    235.736, -150.6,   0.98387, 3,    235.736,   89.4,   0.98387
"TALAULIMBUS1", 0.415, 1,    235.865,  -30.6,   0.98441, 2,    235.865, -150.6,   0.98441, 3,    235.865,   89.4,   0.98441
"MAHALAKSHMI_NAGARBUS1", 0.415, 1,    234.952,  -30.9,    0.9806, 2,    234.952, -150.9,    0.9806, 3,    234.952,   89.1,    0.9806
"PAUNWADABUS1", 0.415, 1,    234.991,  -31.0,   0.98076, 2,    234.991, -151.0,   0.98076, 3,    234.991,   89.0,   0.98076
"KAVLE_MATHBUS1", 0.415, 1,    236.659,  -30.4,   0.98772, 2,    236.659, -150.4,   0.98772, 3,    236.659,   89.6,   0.98772
"SHANTADURGA_OLDBUS1", 0.415, 1,    236.823,  -30.3,   0.98841, 2,    236.823, -150.3,   0.98841, 3,    236.823,   89.7,   0.98841
"SANATAN_1BUS1", 0.415, 1,    235.809,  -30.7,   0.98418, 2,    235.809, -150.7,   0.98418, 3,    235.809,   89.3,   0.98418
"SANATAN_2BUS1", 0.415, 1,    237.682,  -30.1,   0.99199, 2,    237.682, -150.1,   0.99199, 3,    237.682,   89.9,   0.99199
"RAMNATHI_DEVASTHANBUS1", 0.415, 1,     236.82,  -30.4,    0.9884, 2,     236.82, -150.4,    0.9884, 3,     236.82,   89.6,    0.9884
"RAMNATHIBUS1", 0.415, 1,    237.738,  -30.1,   0.99223, 2,    237.738, -150.1,   0.99223, 3,    237.738,   89.9,   0.99223
