Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PATILBUS", 0.415, 1,    228.043,   -1.4,   0.95176, 2,    228.043, -121.4,   0.95176, 3,    228.043,  118.6,   0.95176
"PUROHITBUS", 0.415, 1,     226.53,   -1.6,   0.94545, 2,     226.53, -121.6,   0.94545, 3,     226.53,  118.4,   0.94545
"BHARDWAJBUS", 0.415, 1,    227.495,   -1.4,   0.94948, 2,    227.495, -121.4,   0.94948, 3,    227.495,  118.6,   0.94948
"MAHALAXMI_DEVBUS", 0.415, 1,    228.564,   -1.2,   0.95394, 2,    228.564, -121.2,   0.95394, 3,    228.564,  118.8,   0.95394
"KEDARBUS", 0.415, 1,    226.366,   -1.6,   0.94477, 2,    226.366, -121.6,   0.94477, 3,    226.366,  118.4,   0.94477
"DESSAI_SANTOBABUS", 0.415, 1,    229.794,   -1.0,   0.95907, 2,    229.794, -121.0,   0.95907, 3,    229.794,  119.0,   0.95907
"RANI_CONSTRUCTIONBUS", 0.415, 1,    227.541,   -1.4,   0.94967, 2,    227.541, -121.4,   0.94967, 3,    227.541,  118.6,   0.94967
"MAHARUDRABUS", 0.415, 1,    228.618,   -1.2,   0.95416, 2,    228.618, -121.2,   0.95416, 3,    228.618,  118.8,   0.95416
"RAVINAGARBUS", 0.415, 1,    226.092,   -1.6,   0.94362, 2,    226.092, -121.6,   0.94362, 3,    226.092,  118.4,   0.94362
"FRIENDS_COLONYBUS", 0.415, 1,    225.898,   -1.6,   0.94281, 2,    225.898, -121.6,   0.94281, 3,    225.898,  118.4,   0.94281
"KHADPABANDH_GARDEN_IIBUS", 0.415, 1,    230.404,   -0.9,   0.96162, 2,    230.404, -120.9,   0.96162, 3,    230.404,  119.1,   0.96162
"KHADPABANDH_GARDEN_IBUS", 0.415, 1,    229.118,   -1.1,   0.95625, 2,    229.118, -121.1,   0.95625, 3,    229.118,  118.9,   0.95625
"SPORTS_COMPLEXBUS", 0.415, 1,    227.878,   -1.5,   0.95108, 2,    227.878, -121.5,   0.95108, 3,    227.878,  118.5,   0.95108
"BHAGWATI_IBUS", 0.415, 1,    225.609,   -1.6,    0.9416, 2,    225.609, -121.6,    0.9416, 3,    225.609,  118.4,    0.9416
"BHAGWATI_IIBUS", 0.415, 1,    225.628,   -1.6,   0.94169, 2,    225.628, -121.6,   0.94169, 3,    225.628,  118.4,   0.94169
"SEWERAGE_HTCBUS", 0.415, 1,    227.898,   -1.2,   0.95116, 2,    227.898, -121.2,   0.95116, 3,    227.898,  118.8,   0.95116
"SPORTS_COMPLEX_HTCBUS", 0.415, 1,    229.049,   -1.3,   0.95596, 2,    229.049, -121.3,   0.95596, 3,    229.049,  118.7,   0.95596
"SUNGRACE_HTCBUS", 0.415, 1,    229.881,   -1.2,   0.95943, 2,    229.881, -121.2,   0.95943, 3,    229.881,  118.8,   0.95943
"HERITAGEIBUS", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"HERITAGEIIBUS", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
